Year,NOC,Bronze,Gold,Silver,Total
1956,YUG,0,0,23,23
1960,ARG,1,0,3,4
1960,AUS,11,11,24,46
1960,AUT,3,2,4,9
1960,BEL,2,0,2,4
1960,BRA,13,0,0,13
1960,BUL,3,1,3,7
1960,CAN,1,3,26,30
1960,DEN,4,2,17,23
1960,ESP,14,0,0,14
1960,ETH,0,1,0,1
1960,FIN,9,6,4,19
1960,FRA,8,1,6,15
1960,GBR,15,2,11,28
1960,GER,23,38,37,98
1960,GHA,0,0,1,1
1960,GRE,0,3,0,3
1960,HUN,37,13,16,66
1960,IND,0,0,13,13
1960,IRI,3,0,1,4
1960,IRQ,1,0,0,1
1960,ITA,35,36,18,89
1960,JPN,12,9,10,31
1960,MAR,0,0,1,1
1960,MEX,1,0,0,1
1960,NED,3,0,2,5
1960,NOR,0,5,6,11
1960,NZL,1,2,0,3
1960,PAK,1,13,0,14
1960,POL,16,4,12,32
1960,POR,0,0,2,2
1960,ROU,11,3,1,15
1960,RSA,2,0,1,3
1960,SGP,0,0,1,1
1960,SUI,6,2,6,14
1960,SWE,5,7,4,16
1960,TCH,11,4,8,23
1960,TPE,0,0,1,1
1960,TUR,0,7,2,9
1960,UAR,1,0,1,2
1960,URS,73,68,70,211
1960,USA,25,100,27,152
1960,VEN,1,0,0,1
1960,WIF,5,0,0,5
1960,YUG,0,16,1,17
1964,ARG,0,0,1,1
1964,AUS,30,8,6,44
1964,AUT,3,5,9,17
1964,BAH,0,2,0,2
1964,BEL,1,2,0,3
1964,BRA,12,0,0,12
1964,BUL,2,3,5,10
1964,CAN,2,6,4,12
1964,CUB,0,0,1,1
1964,DEN,4,7,1,12
1964,ETH,0,1,0,1
1964,FIN,7,6,7,20
1964,FRA,17,4,17,38
1964,GBR,5,6,19,30
1964,GER,53,25,48,126
1964,GHA,1,0,0,1
1964,HUN,7,42,7,56
1964,IND,0,15,0,15
1964,IRI,2,0,0,2
1964,IRL,1,0,0,1
1964,ITA,17,14,30,61
1964,JPN,25,32,5,62
1964,KEN,1,0,0,1
1964,KOR,1,0,2,3
1964,MEX,1,0,0,1
1964,NED,16,6,11,33
1964,NGR,1,0,0,1
1964,NOR,6,3,6,15
1964,NZL,2,4,0,6
1964,PAK,0,0,16,16
1964,PHI,0,0,1,1
1964,POL,23,10,13,46
1964,PRK,0,0,1,1
1964,ROU,10,2,4,16
1964,SUI,1,1,4,6
1964,SWE,9,9,25,43
1964,TCH,29,5,37,71
1964,TTO,5,0,1,6
1964,TUN,1,0,1,2
1964,TUR,1,2,3,6
1964,URS,60,90,71,221
1964,URU,1,0,0,1
1964,USA,42,96,39,177
1964,YUG,2,2,11,15
1968,ARG,2,0,0,2
1968,AUS,11,5,35,51
1968,AUT,7,3,10,20
1968,BEL,2,0,1,3
1968,BRA,3,0,1,4
1968,BUL,3,2,21,26
1968,CAN,22,4,4,30
1968,CMR,0,0,1,1
1968,CUB,0,0,10,10
1968,DEN,6,5,6,17
1968,ETH,0,1,1,2
1968,FIN,6,2,4,12
1968,FRA,12,16,8,36
1968,FRG,23,19,19,61
1968,GBR,5,9,5,19
1968,GDR,21,15,22,58
1968,GRE,1,0,0,1
1968,HUN,29,32,20,81
1968,IND,16,0,0,16
1968,IRI,2,2,1,5
1968,ITA,20,13,8,41
1968,JAM,0,0,1,1
1968,JPN,22,16,25,63
1968,KEN,2,3,7,12
1968,KOR,1,0,1,2
1968,MEX,3,3,3,9
1968,MGL,3,0,1,4
1968,NED,4,9,10,23
1968,NOR,2,15,11,28
1968,NZL,2,5,0,7
1968,PAK,0,13,0,13
1968,POL,30,5,2,37
1968,ROU,11,5,9,25
1968,SUI,17,0,5,22
1968,SWE,7,7,11,25
1968,TCH,16,8,26,50
1968,TPE,1,0,0,1
1968,TUN,1,1,0,2
1968,TUR,0,2,0,2
1968,UGA,1,0,1,2
1968,URS,69,91,69,229
1968,USA,36,100,37,173
1968,VEN,0,1,0,1
1968,YUG,2,13,14,29
1972,ARG,0,0,1,1
1972,AUS,2,11,7,20
1972,AUT,4,1,3,8
1972,BEL,0,0,2,2
1972,BRA,2,0,0,2
1972,BUL,6,6,10,22
1972,CAN,9,0,3,12
1972,COL,2,0,1,3
1972,CUB,18,3,1,22
1972,DEN,0,1,0,1
1972,ESP,1,1,0,2
1972,ETH,2,0,0,2
1972,FIN,7,3,10,20
1972,FRA,17,2,6,25
1972,FRG,43,48,21,112
1972,GBR,12,8,9,29
1972,GDR,69,35,67,171
1972,GHA,1,0,0,1
1972,GRE,0,0,2,2
1972,HUN,25,10,46,81
1972,IND,14,0,0,14
1972,IRI,1,0,2,3
1972,ITA,14,12,8,34
1972,JAM,1,0,0,1
1972,JPN,9,30,20,59
1972,KEN,4,5,3,12
1972,KOR,0,0,1,1
1972,LIB,0,0,1,1
1972,MEX,0,0,1,1
1972,MGL,0,0,1,1
1972,NED,4,7,4,15
1972,NGR,1,0,0,1
1972,NIG,1,0,0,1
1972,NOR,11,4,10,25
1972,NZL,1,9,4,14
1972,PAK,0,0,15,15
1972,POL,11,28,8,47
1972,PRK,13,1,1,15
1972,ROU,27,3,10,40
1972,SUI,7,7,11,25
1972,SWE,10,5,11,26
1972,TCH,25,3,21,49
1972,TUN,0,0,1,1
1972,TUR,0,0,1,1
1972,UGA,0,1,1,2
1972,URS,63,143,53,259
1972,USA,46,72,77,195
1972,YUG,2,15,1,18
1976,AUS,8,0,15,23
1976,AUT,4,2,2,8
1976,BEL,6,0,3,9
1976,BER,1,0,0,1
1976,BRA,3,0,0,3
1976,BUL,18,8,13,39
1976,CAN,15,1,10,26
1976,CUB,14,6,4,24
1976,DEN,5,3,0,8
1976,ESP,0,0,6,6
1976,FIN,1,9,12,22
1976,FRA,9,5,7,21
1976,FRG,55,23,32,110
1976,GBR,11,7,15,33
1976,GDR,56,114,57,227
1976,HUN,35,14,6,55
1976,IRI,1,0,1,2
1976,ITA,5,3,27,35
1976,JAM,0,1,1,2
1976,JPN,10,25,6,41
1976,KOR,15,1,1,17
1976,LIE,2,0,0,2
1976,MEX,1,1,0,2
1976,MGL,0,0,1,1
1976,NED,15,1,4,20
1976,NOR,1,5,10,16
1976,NZL,9,15,1,25
1976,PAK,16,0,0,16
1976,POL,26,18,29,73
1976,POR,0,0,2,2
1976,PRK,0,1,1,2
1976,PUR,1,0,0,1
1976,ROU,23,4,28,55
1976,SUI,8,2,9,19
1976,SWE,2,9,1,12
1976,TCH,9,2,23,34
1976,THA,1,0,0,1
1976,TTO,0,1,0,1
1976,URS,88,152,102,342
1976,USA,41,73,61,175
1976,VEN,0,0,1,1
1976,YUG,3,2,14,19
1980,AUS,5,6,2,13
1980,AUT,4,4,5,13
1980,BEL,0,1,0,1
1980,BRA,5,4,0,9
1980,BUL,39,8,44,91
1980,CAN,1,0,1,2
1980,CUB,5,8,7,20
1980,DEN,2,4,2,8
1980,ESP,3,2,19,24
1980,ETH,2,2,0,4
1980,FIN,11,4,6,21
1980,FRA,7,18,5,30
1980,FRG,6,0,2,8
1980,GBR,24,6,18,48
1980,GDR,73,131,99,303
1980,GRE,4,1,0,5
1980,GUY,1,0,0,1
1980,HUN,40,8,15,63
1980,IND,0,16,0,16
1980,IRL,1,0,2,3
1980,ITA,8,8,24,40
1980,JAM,3,0,0,3
1980,JPN,0,0,1,1
1980,LIB,1,0,0,1
1980,LIE,0,2,2,4
1980,MEX,9,0,1,10
1980,MGL,2,0,2,4
1980,NED,6,1,3,10
1980,NOR,9,1,5,15
1980,POL,22,3,25,50
1980,PRK,2,0,3,5
1980,ROU,46,7,15,68
1980,SUI,3,4,4,11
1980,SWE,29,6,8,43
1980,TAN,0,0,2,2
1980,TCH,17,17,18,52
1980,UGA,0,0,1,1
1980,URS,133,205,158,496
1980,USA,2,24,4,30
1980,VEN,0,0,1,1
1980,YUG,17,13,27,57
1980,ZIM,0,15,0,15
1984,ALG,2,0,0,2
1984,AUS,31,7,14,52
1984,AUT,2,1,1,4
1984,BEL,2,1,2,5
1984,BRA,2,1,33,36
1984,CAN,33,21,37,91
1984,CHN,37,24,13,74
1984,CIV,0,0,1,1
1984,CMR,1,0,0,1
1984,COL,0,0,1,1
1984,DEN,10,0,3,13
1984,DOM,1,0,0,1
1984,EGY,0,0,1,1
1984,ESP,3,2,14,19
1984,FIN,18,8,5,31
1984,FRA,33,20,17,70
1984,FRG,57,33,76,166
1984,GBR,42,11,20,73
1984,GDR,7,13,13,33
1984,GRE,1,0,1,2
1984,IRL,0,0,1,1
1984,ISL,1,0,0,1
1984,ITA,28,31,6,65
1984,JAM,2,0,5,7
1984,JPN,31,10,9,50
1984,KEN,2,1,0,3
1984,KOR,7,6,28,41
1984,LIE,2,0,0,2
1984,MAR,0,2,0,2
1984,MEX,1,2,3,6
1984,NED,14,20,7,41
1984,NGR,4,0,1,5
1984,NOR,7,6,6,19
1984,NZL,6,16,1,23
1984,PAK,0,16,0,16
1984,PER,0,0,1,1
1984,POR,2,1,0,3
1984,PUR,1,0,1,2
1984,ROU,35,40,31,106
1984,SUI,8,2,11,21
1984,SWE,34,10,20,64
1984,SYR,0,0,1,1
1984,TCH,4,0,24,28
1984,THA,0,0,1,1
1984,TPE,1,0,0,1
1984,TUR,3,0,0,3
1984,URS,12,29,15,56
1984,USA,50,190,121,361
1984,VEN,3,0,0,3
1984,YUG,35,47,6,88
1984,ZAM,1,0,0,1
1988,AHO,0,0,1,1
1988,ARG,12,0,1,13
1988,AUS,11,18,6,35
1988,AUT,4,4,5,13
1988,BEL,2,0,0,2
1988,BRA,5,1,17,23
1988,BUL,17,10,14,41
1988,CAN,18,4,7,29
1988,CHI,0,0,1,1
1988,CHN,30,6,16,52
1988,COL,1,0,0,1
1988,CRC,0,0,1,1
1988,DEN,3,3,1,7
1988,DJI,1,0,0,1
1988,ESP,2,1,2,5
1988,FIN,7,8,23,38
1988,FRA,14,13,4,31
1988,FRG,49,36,44,129
1988,GBR,15,22,17,54
1988,GDR,55,89,69,213
1988,GRE,1,0,0,1
1988,HUN,15,20,9,44
1988,INA,0,0,3,3
1988,IRI,0,0,1,1
1988,ISV,0,0,1,1
1988,ITA,13,13,11,37
1988,JAM,0,0,7,7
1988,JPN,14,4,3,21
1988,KEN,2,5,2,9
1988,KOR,12,28,37,77
1988,LIE,1,0,0,1
1988,MAR,2,1,0,3
1988,MEX,2,0,0,2
1988,MGL,1,0,0,1
1988,NED,38,6,8,52
1988,NOR,5,2,26,33
1988,NZL,16,4,4,24
1988,PAK,1,0,0,1
1988,PER,0,0,12,12
1988,PHI,1,0,0,1
1988,POL,10,2,9,21
1988,POR,0,1,0,1
1988,ROU,16,8,34,58
1988,SEN,0,0,1,1
1988,SUI,7,8,13,28
1988,SUR,0,1,0,1
1988,SWE,34,7,5,46
1988,TCH,8,3,5,16
1988,THA,1,0,0,1
1988,TUR,0,1,1,2
1988,URS,111,174,81,366
1988,USA,58,89,67,214
1988,YUG,22,15,32,69
1992,ALG,1,1,0,2
1992,ARG,2,0,0,2
1992,AUS,16,14,27,57
1992,AUT,10,9,16,35
1992,BAH,1,0,0,1
1992,BEL,2,0,1,3
1992,BRA,0,13,1,14
1992,BUL,7,3,7,17
1992,CAN,15,32,33,80
1992,CHN,19,18,48,85
1992,COL,1,0,0,1
1992,CRO,3,0,12,15
1992,CUB,14,42,13,69
1992,DEN,9,3,2,14
1992,ESP,3,48,19,70
1992,EST,2,1,0,3
1992,ETH,2,1,0,3
1992,EUN,81,127,71,279
1992,FIN,8,7,5,20
1992,FRA,44,14,11,69
1992,GBR,39,8,3,50
1992,GER,67,95,74,236
1992,GHA,20,0,0,20
1992,GRE,0,2,0,2
1992,HUN,8,14,23,45
1992,INA,1,2,3,6
1992,IOA,2,0,1,3
1992,IRI,2,0,1,3
1992,IRL,0,1,1,2
1992,ISR,1,0,1,2
1992,ITA,22,25,19,66
1992,JAM,1,0,3,4
1992,JPN,43,6,10,59
1992,KEN,2,2,4,8
1992,KOR,17,33,6,56
1992,LAT,1,0,2,3
1992,LTU,12,1,0,13
1992,LUX,0,0,2,2
1992,MAR,1,1,1,3
1992,MAS,2,0,0,2
1992,MEX,0,0,1,1
1992,MGL,2,0,0,2
1992,NAM,0,0,2,2
1992,NED,10,6,21,37
1992,NGR,4,0,7,11
1992,NOR,6,11,30,47
1992,NZL,5,1,10,16
1992,PAK,16,0,0,16
1992,PER,0,0,1,1
1992,PHI,1,0,0,1
1992,POL,19,5,22,46
1992,PRK,7,4,0,11
1992,PUR,1,0,0,1
1992,QAT,1,0,0,1
1992,ROU,14,8,31,53
1992,RSA,0,0,3,3
1992,SLO,6,0,0,6
1992,SUI,5,3,0,8
1992,SUR,1,0,0,1
1992,SWE,13,2,27,42
1992,TCH,28,4,3,35
1992,THA,1,0,0,1
1992,TPE,0,0,20,20
1992,TUR,2,2,2,6
1992,USA,87,94,57,238
1994,AUS,4,0,0,4
1994,AUT,7,2,3,12
1994,BLR,0,0,2,2
1994,CAN,5,3,29,37
1994,CHN,2,0,1,3
1994,FIN,29,0,1,30
1994,FRA,10,0,1,11
1994,GBR,3,0,0,3
1994,GER,12,18,10,40
1994,ITA,12,14,6,32
1994,JPN,2,3,5,10
1994,KAZ,0,1,2,3
1994,KOR,1,7,1,9
1994,NED,3,0,1,4
1994,NOR,5,8,17,30
1994,RUS,4,19,13,36
1994,SLO,3,0,0,3
1994,SUI,4,4,8,16
1994,SWE,0,23,1,24
1994,UKR,1,1,0,2
1994,USA,5,6,8,19
1994,UZB,0,1,0,1
1996,ALG,1,2,0,3
1996,ARG,1,0,19,20
1996,ARM,0,1,1,2
1996,AUS,84,32,16,132
1996,AUT,2,0,1,3
1996,AZE,0,0,1,1
1996,BAH,0,0,5,5
1996,BDI,0,1,0,1
1996,BEL,2,2,2,6
1996,BLR,16,1,6,23
1996,BRA,43,5,15,63
1996,BUL,6,3,12,21
1996,CAN,12,8,30,50
1996,CHN,17,19,70,106
1996,CRC,0,1,0,1
1996,CRO,0,16,12,28
1996,CUB,10,37,8,55
1996,CZE,4,4,5,13
1996,DEN,1,21,1,23
1996,ECU,0,1,0,1
1996,ESP,22,23,21,66
1996,ETH,1,2,0,3
1996,FIN,1,1,2,4
1996,FRA,20,21,10,51
1996,GBR,9,2,15,26
1996,GEO,2,0,0,2
1996,GER,47,42,35,124
1996,GRE,0,4,4,8
1996,HKG,0,1,0,1
1996,HUN,26,8,9,43
1996,INA,3,2,1,6
1996,IND,1,0,0,1
1996,IRI,1,1,1,3
1996,IRL,1,3,0,4
1996,ISR,1,0,0,1
1996,ITA,28,19,24,71
1996,JAM,12,1,3,16
1996,JPN,13,3,26,42
1996,KAZ,4,3,4,11
1996,KEN,3,1,4,8
1996,KOR,7,10,49,66
1996,LAT,0,0,1,1
1996,LTU,11,0,0,11
1996,MAR,2,0,0,2
1996,MAS,1,0,2,3
1996,MDA,1,0,2,3
1996,MEX,1,0,0,1
1996,MGL,1,0,0,1
1996,MOZ,1,0,0,1
